frequency_hz,magnitude
615.234,0.295976
615.967,0.138039
616.699,0.0784788
617.432,0.230041
618.164,0.0782357
618.896,0.226326
619.629,0.198388
620.361,0.154805
621.094,0.208904
621.826,0.279941
622.559,0.160338
623.291,0.34885
624.023,0.102587
624.756,0.325348
625.488,0.188168
626.221,0.0799129
626.953,0.180383
627.686,0.0838679
628.418,0.260319
629.15,0.275962
629.883,0.205451
630.615,0.269947
631.348,0.0939543
632.08,0.151742
632.812,0.151073
633.545,0.0922178
634.277,0.106417
635.01,0.1856
635.742,0.0275047
636.475,0.333258
637.207,0.210737
637.939,0.209138
638.672,0.111096
639.404,0.200631
640.137,0.24869
640.869,0.101882
641.602,0.295553
642.334,0.166403
643.066,0.461277
643.799,0.309597
644.531,0.197171
645.264,0.168732
645.996,0.205226
646.729,0.166761
647.461,0.313957
648.193,0.498137
648.926,0.319059
649.658,0.173548
650.391,0.191862
651.123,0.20726
651.855,0.0238744
652.588,0.188045
653.32,0.289052
654.053,0.276814
654.785,0.33338
655.518,0.384685
656.25,0.247582
656.982,0.132534
657.715,0.135415
658.447,0.28336
659.18,0.59178
659.912,0.307392
660.645,0.386963
661.377,0.389219
662.109,0.242657
662.842,0.171025
663.574,0.22693
664.307,0.117887
665.039,0.139063
665.771,0.207725
666.504,0.16053
667.236,0.150125
667.969,0.158415
668.701,0.274788
669.434,0.0763548
670.166,0.0679331
670.898,0.0817788
671.631,0.224833
672.363,0.375947
673.096,0.0711165
673.828,0.203361
674.561,0.136235
675.293,0.136393
676.025,0.20792
676.758,0.327319
677.49,0.258034
678.223,0.170431
678.955,0.193898
679.688,0.0165746
680.42,0.206837
681.152,0.287684
681.885,0.200552
682.617,0.227977
683.35,0.16289
684.082,0.222346
684.814,0.186274
685.547,0.212495
686.279,0.235899
687.012,0.317337
687.744,0.474404
688.477,0.611546
689.209,0.509171
689.941,0.0821134
690.674,0.370108
691.406,0.268414
692.139,0.237615
692.871,0.379345
693.604,0.274415
694.336,0.154044
695.068,0.283315
695.801,0.204148
696.533,0.0319836
697.266,0.0709987
697.998,0.059849
698.73,0.146403
699.463,0.256461
700.195,0.153448
700.928,0.0718121
701.66,0.358281
702.393,0.238945
703.125,0.0824866
703.857,0.0915466
704.59,0.250584
705.322,0.266991
706.055,0.230371
706.787,0.171699
707.52,0.225439
708.252,0.309135
708.984,0.0432513
709.717,0.0615077
710.449,0.369793
711.182,0.405291
711.914,0.117212
712.646,0.0861038
713.379,0.172596
714.111,0.142263
714.844,0.207678
715.576,0.203594
716.309,0.170219
717.041,0.19966
717.773,0.0738409
718.506,0.29168
719.238,0.353462
719.971,0.058904
720.703,0.250352
721.436,0.365064
722.168,0.261105
722.9,0.415394
723.633,0.355813
724.365,0.222996
725.098,0.282228
725.83,0.3346
726.562,0.212934
727.295,0.237648
728.027,0.291424
728.76,0.163106
729.492,0.271251
730.225,0.548611
730.957,0.274173
731.689,0.195399
732.422,0.0573478
733.154,0.0817623
733.887,0.0440194
734.619,0.0572413
735.352,0.0541734
736.084,0.233855
736.816,0.194438
737.549,0.218408
738.281,0.269825
739.014,0.310264
739.746,0.16103
740.479,0.231821
741.211,0.101144
741.943,0.320682
742.676,0.297783
743.408,0.0998203
744.141,0.316608
744.873,0.337182
745.605,0.381857
746.338,0.185353
747.07,0.204679
747.803,0.166813
748.535,0.07847
749.268,0.196884
750,0.151477
750.732,0.179157
751.465,0.262278
752.197,0.40464
752.93,0.225994
753.662,0.14023
754.395,0.21667
755.127,0.245102
755.859,0.14349
756.592,0.0507738
757.324,0.0854632
758.057,0.11181
758.789,0.254113
759.521,0.104529
760.254,0.207515
760.986,0.294189
761.719,0.299524
762.451,0.27553
763.184,0.25854
763.916,0.0700737
764.648,0.0774033
765.381,0.219374
766.113,0.194257
766.846,0.0387212
767.578,0.413046
768.311,0.381264
769.043,0.285132
769.775,0.370819
770.508,0.449534
771.24,0.296859
771.973,0.0905875
772.705,0.140306
773.438,0.27322
774.17,0.261105
774.902,0.091229
775.635,0.218512
776.367,0.0604651
777.1,0.247869
777.832,0.10811
778.564,0.304672
779.297,0.0768501
780.029,0.299368
780.762,0.493185
781.494,0.384805
782.227,0.0579219
782.959,0.138814
783.691,0.0787713
784.424,0.204907
785.156,0.262066
785.889,0.233942
786.621,0.118127
787.354,0.229993
788.086,0.133212
788.818,0.22567
789.551,0.334894
790.283,0.427477
791.016,0.0734788
791.748,0.185261
792.48,0.129314
793.213,0.0406105
793.945,0.112413
794.678,0.130299
795.41,0.137969
796.143,0.285278
796.875,0.289682
797.607,0.155198
798.34,0.3242
799.072,0.0894114
799.805,0.211332
800.537,0.168122
801.27,0.198707
802.002,0.198643
802.734,0.192877
803.467,0.219175
804.199,0.412246
804.932,0.373604
805.664,0.165446
806.396,0.143002
807.129,0.205033
807.861,0.263884
808.594,0.0969852
809.326,0.200176
810.059,0.186052
810.791,0.189058
811.523,0.34391
812.256,0.187163
812.988,0.138136
813.721,0.101326
